Dimension;Unit;Symbol;Target Unit;Target Symbol;Factor;Offset
AmountOfSubstance;Mole;mol;Mole;mol;1;0
AmountOfSubstance;Mole;mol;Kilomole;kmol;1/1000;0
AmountOfSubstance;Mole;mol;Micromole;µmol;1000000;0
AmountOfSubstance;Mole;mol;Millimole;mmol;1000;0
Angle;Radian;rad;Radian;rad;1;0
Angle;Radian;rad;Revolution;r;0.1591549430919;0
Angle;Radian;rad;Degree;deg;57.295779513082;0
Angle;Radian;rad;Milliradian;mrad;1000;0
Angle;Radian;rad;Microradian;microRad;1000000;0
Area;SquareMeter;m²;SquareMeter;m²;1;0
Area;SquareMeter;m²;SquareKiloMeter;km²;1/1000000;0
Area;SquareMeter;m²;Hektar;ha;1/10000;0
Area;SquareMeter;m²;Ar;ar;1/100;0
Area;SquareMeter;m²;SquareDeziMeter;dm²;100;0
Area;SquareMeter;m²;SquareCentiMeter;cm²;10000;0
Area;SquareMeter;m²;SquareMilliMeter;mm²;1000000;0
Area;SquareMeter;m²;SquareInch;in²;1550.003;0
Area;SquareMeter;m²;SquareFoot;ft²;10.76391;0
Area;SquareMeter;m²;SquareYard;yd²;1.19599;0
Area;SquareMeter;m²;Acren;acre;0.000247105;0
Area;SquareMeter;m²;SquareMile;mi²;3.861021E-7;0
DynamicViskosity;Pascalseconds;Pa s;Pascalseconds;Pa s;1;0
DynamicViskosity;Pascalseconds;Pa s;kg/(m s);kg/(m s);1;0
DynamicViskosity;Pascalseconds;Pa s;kg/(mm s);kg/(mm s);1/1000;0
DynamicViskosity;Pascalseconds;Pa s;dyn s/cm²;dyn s/cm²;10;0
ElectricCurrent;Ampere;A;Ampere;A;1;0
ElectricCurrent;Ampere;A;MilliAmpere;mA;1000;0
Energy|Work|QuantityOfHeat;Joule;J;Joule;J;1;0
Energy|Work|QuantityOfHeat;Joule;J;Attojoule;aJ;1e+018;0
Energy|Work|QuantityOfHeat;Joule;J;BritishThermalUnit;BTU;0.0009478171203;0
Energy|Work|QuantityOfHeat;Joule;J;Calorie;cal;0.2388458966;0
Energy|Work|QuantityOfHeat;Joule;J;DyneCentiMeter;dyne.cm;10000000;0
Energy|Work|QuantityOfHeat;Joule;J;Electronvolt;eV;6.241457006e+018;0
Energy|Work|QuantityOfHeat;Joule;J;Erg;erg;10000000;0
Energy|Work|QuantityOfHeat;Joule;J;Gigajoule;GJ;1e-009;0
Energy|Work|QuantityOfHeat;Joule;J;GigawattHour;GW.hr;1/3600000000000;0
Energy|Work|QuantityOfHeat;Joule;J;GramForceCentiMeter;gf.cm;10197.16213;0
Energy|Work|QuantityOfHeat;Joule;J;HorsepowerHour;hp.hr;3.72506136e-007;0
Energy|Work|QuantityOfHeat;Joule;J;Kilocalorie;kcal;0.0002388458966;0
Energy|Work|QuantityOfHeat;Joule;J;KiloelectronVolt;keV;6.241457006e+015;0
Energy|Work|QuantityOfHeat;Joule;J;Kilojoule;kJ;1/1000;0
Energy|Work|QuantityOfHeat;Joule;J;KilowattHour;kW.hr;1/3600000;0
Energy|Work|QuantityOfHeat;Joule;J;MegaelectronVolt;MeV;6.241457006e+012;0
Energy|Work|QuantityOfHeat;Joule;J;Megajoule;MJ;1e-006;0
Energy|Work|QuantityOfHeat;Joule;J;MegawattHour;MW.hr;1/3600000000;0
Energy|Work|QuantityOfHeat;Joule;J;Microjoule;microJ;1000000;0
Energy|Work|QuantityOfHeat;Joule;J;Millijoule;mJ;1000;0
Energy|Work|QuantityOfHeat;Joule;J;Nanojoule;nJ;1000000000;0
Energy|Work|QuantityOfHeat;Joule;J;NewtonMeter;N.m;1;0
Energy|Work|QuantityOfHeat;Joule;J;OunceForceInch;ozf.in;141.6119327;0
Energy|Work|QuantityOfHeat;Joule;J;PoundForceFoot;lbf.ft;0.7375621493;0
Energy|Work|QuantityOfHeat;Joule;J;PoundForceInch;lbf.in;8.850745791;0
Energy|Work|QuantityOfHeat;Joule;J;PoundalFoot;pdl.ft;23.7303604;0
Energy|Work|QuantityOfHeat;Joule;J;Therm;th;9.478133945e-009;0
Energy|Work|QuantityOfHeat;Joule;J;WattHour;W.hr;1/3600;0
Energy|Work|QuantityOfHeat;Joule;J;WattSecond;W.s;1;0
Force;Newton;N;Newton;N;1;0
Force;Newton;N;Dyne;dyne;100000;0
Force;Newton;N;GramForce;gf;101.9716213;0
Force;Newton;N;KilogramForce;kgf;0.1019716213;0
Force;Newton;N;KiloNewton;kN;1/1000;0
Force;Newton;N;MilliNewton;mN;1000;0
Force;Newton;N;OunceForce;ozf;3.59694309;0
Force;Newton;N;PoundForce;lbf;0.2248089431;0
KinematicViskosity;SquareMeterPerSecond;m²/s;SquareMeterPerSecond;m²/s;1;0
KinematicViskosity;SquareMeterPerSecond;m²/s;mm²/s;mm²/s;1e6;0
KinematicViskosity;SquareMeterPerSecond;m²/s;cm²/s;cm²/s;1e4;0
KinematicViskosity;SquareMeterPerSecond;m²/s;ft²/s;ft²/s;10.76391;0
Length;Meter;m;Meter;m;1;0
Length;Meter;m;KiloMeter;km;1/1000;0
Length;Meter;m;HectoMeter;hm;1/100;0
Length;Meter;m;DekaMeter;dam;1/10;0
Length;Meter;m;DeciMeter;dm;10;0
Length;Meter;m;CentiMeter;cm;100;0
Length;Meter;m;MilliMeter;mm;1000;0
Length;Meter;m;MicroMeter;µm;1000000;0
Length;Meter;m;Mile;mi;125/201168;0
Length;Meter;m;Furlong;furlong;125/25146;0
Length;Meter;m;Yard;yd;1250/1143;0
Length;Meter;m;Foot;ft;1250/381;0
Length;Meter;m;Inch;in;5000/127;0
Length;Meter;m;Mil;mil;5000000/127;0
Length;Meter;m;Lightyear;ly;1/9460730472580800;0
Length;Meter;m;League;league;125/603504;0
Length;Meter;m;Pars;pc;3.240782847E-17;0
Length;Meter;m;NauticalMile;M;1/1852;0
Length;Meter;m;NanoMeter;nm;1000000000;0
Length;Meter;m;SurveyFoot;usFt;3.2808;0
Mass;Kilogram;kg;Kilogram;kg;1;0
Mass;Kilogram;kg;Carat;carat;5000;0
Mass;Kilogram;kg;Grain;gr;15432.4;0
Mass;Kilogram;kg;Gram;g;1000;0
Mass;Kilogram;kg;Megagram;Mg;1/1000;0
Mass;Kilogram;kg;Microgram;µg;1000000000;0
Mass;Kilogram;kg;Milligram;mg;1000000;0
Mass;Kilogram;kg;Ounce;oz;35.27392;0
Mass;Kilogram;kg;OunceTroy;ozt;32.150502;0
Mass;Kilogram;kg;Pennyweight;dwt;643.01403;0
Mass;Kilogram;kg;Pound;lbm;2.20462;0
Mass;Kilogram;kg;PoundTroy;lbt;2.6792085;0
Mass;Kilogram;kg;Stone;st;0.1574728;0
Mass;Kilogram;kg;LongTon;ltn;0.0009842;0
Mass;Kilogram;kg;ShortTon;tn;0.0011023;0
Mass;Kilogram;kg;Tonne;t;1/1000;0
MassDensity;KilogramPerCubicMeter;kg/m³;KilogramPerCubicMeter;kg/m³;1;0
MassDensity;KilogramPerCubicMeter;kg/m³;GramPerCubicMilliMeter;g/mm³;1E-06;0
MassDensity;KilogramPerCubicMeter;kg/m³;GramPerCubicCentiMeter;g/cm³;0.001;0
MassDensity;KilogramPerCubicMeter;kg/m³;GramPerCubicMeter;g/m³;1000;0
MassDensity;KilogramPerCubicMeter;kg/m³;MilliGramPerCubicMeter;mg/m³;1000000;0
MassDensity;KilogramPerCubicMeter;kg/m³;OuncePerGallon;oz/gal;0.1335264712;0
MassDensity;KilogramPerCubicMeter;kg/m³;PoundMassperCubicFeet;lbm/ft³;0.06242796058;0
MassDensity;KilogramPerCubicMeter;kg/m³;PoundMassperCubicInch;lbm/in³;0.000036127292;0
MassDensity;KilogramPerCubicMeter;kg/m³;TonPerCubicYard;ton/yard³;0.00075247998;0
MassDensity;KilogramPerCubicMeter;kg/m³;KilogramPerCubicMiliMeter;kg/mm³;1E-09;0
MolarMass;KilogramPerMole;kg/mol;KilogramPerMole;kg/mol;1;0
MolarMass;KilogramPerMole;kg/mol;GramPerMole;g/mol;1000;0
Percentage;Percent;%;Percent;%;1;0
Percentage;Percent;%;Permil;‰;0.1;0
Power|RadiantFlux;Watt;W;Watt;W;1;0
